iter	Logloss
0	0.4266224993
1	0.3695847524
2	0.3529268246
3	0.3492091606
4	0.347783816
5	0.3470728273
6	0.3466972702
7	0.3449709818
8	0.3436401188
9	0.3434340575
10	0.342826869
11	0.3426553029
12	0.3424260876
13	0.3420357938
14	0.3419353937
15	0.3418753172
16	0.3417859671
17	0.3417168218
18	0.3416224735
19	0.3415442021
20	0.3414550033
21	0.3414329808
22	0.341403313
23	0.341238878
24	0.3412003506
25	0.341119121
26	0.3410442677
27	0.3409064996
28	0.3408512029
29	0.3407617563
30	0.3407285803
31	0.340628374
32	0.3405525668
33	0.3403776302
34	0.3402780032
35	0.3401263635
36	0.3400233429
37	0.3399555145
38	0.3398596735
39	0.3398184717
40	0.3397818576
41	0.339667934
42	0.3395720985
43	0.3394660402
44	0.339441261
45	0.3393833334
46	0.3392727435
47	0.3391635659
48	0.3391188415
49	0.3390945256
50	0.3389898945
51	0.3388622127
52	0.3388342422
53	0.3387574581
54	0.3386560329
55	0.3386248524
56	0.3385546822
57	0.3384668297
58	0.3383620806
59	0.3382870023
60	0.3382228361
61	0.338147051
62	0.3380688132
63	0.337992095
64	0.337965027
65	0.3378827499
66	0.337862228
67	0.3377628679
68	0.3376868192
69	0.3376158063
70	0.3375902804
71	0.3375408641
72	0.3374715903
73	0.3374485248
74	0.3373587222
75	0.3372980153
76	0.337208992
77	0.3371416395
78	0.3370733228
79	0.3370048168
80	0.3369453964
81	0.3368459724
82	0.3367949781
83	0.3367286425
84	0.3367180897
85	0.3366610315
86	0.3365813196
87	0.3365611785
88	0.3364985028
89	0.336417868
90	0.3363276004
91	0.3362818342
92	0.3362517731
93	0.3362056118
94	0.3361589718
95	0.3361155625
96	0.3360841683
97	0.3360620192
98	0.3359863306
99	0.3359651602
100	0.335945717
101	0.3359289726
102	0.335877021
103	0.3357270449
104	0.3356705924
105	0.3356518685
106	0.3356057679
107	0.3355682032
108	0.3355434887
109	0.3354773879
110	0.3354171423
111	0.3353934715
112	0.3353535827
113	0.3353090064
114	0.3352868437
115	0.3352475766
116	0.3351839073
117	0.3351742739
118	0.3351583697
119	0.3351416207
120	0.3350997827
121	0.3350703136
122	0.3350055613
123	0.3349410758
124	0.3349197252
125	0.3348949028
126	0.3348788455
127	0.3348232073
128	0.3347826096
129	0.3347670575
130	0.3347043538
131	0.3346795287
132	0.3346286247
133	0.3345879205
134	0.3345713102
135	0.3345076479
136	0.3344827087
137	0.3344197753
138	0.3343699709
139	0.334318384
140	0.3343063331
141	0.3342910325
142	0.3342359088
143	0.3342083905
144	0.3341560808
145	0.3341442972
146	0.3341372741
147	0.3340989316
148	0.3340767855
149	0.3340584874
150	0.3340398771
151	0.3340319561
152	0.3340158125
153	0.3340040583
154	0.3339837607
155	0.3339211032
156	0.3339122184
157	0.3338612908
158	0.3338097418
159	0.3337486178
160	0.3337103112
161	0.3336621918
162	0.3336464118
163	0.3336375425
164	0.333617661
165	0.3335783695
166	0.3335230168
167	0.3335035533
168	0.3334689176
169	0.3334437783
170	0.3333886278
171	0.3333581064
172	0.3333297676
173	0.3333064851
174	0.333276479
175	0.3332688896
176	0.3332546325
177	0.3332289048
178	0.3332048328
179	0.333188618
180	0.3331681241
181	0.333151412
182	0.333144718
183	0.3331297826
184	0.3330924772
185	0.3330347372
186	0.3330196724
187	0.3330115461
188	0.3329994173
189	0.3329863422
190	0.3329479216
191	0.3329085732
192	0.3328554796
193	0.3328372646
194	0.3327818547
195	0.3327720958
196	0.3327325689
197	0.3327201657
198	0.3326921479
199	0.332678001
